"Data anno corrente","Giorno settimana","Vendite R6","Scontrini R6"
"2018-07-13","Venerdi",4931.15,679.0
"2018-07-14","Sabato",5983.83,818.0
"2018-07-15","Domenica",4483.53,604.0
"2018-07-16","Lunedi",3718.67,549.0
"2018-07-17","Martedi",3294.82,542.0
"2018-07-18","Mercoledi",3884.79,598.0
"2018-07-19","Giovedi",4203.65,613.0
"2018-07-20","Venerdi",4913.41,730.0
"2018-07-21","Sabato",5687.36,822.0
"2018-07-22","Domenica",4725.62,673.0
"2018-07-23","Lunedi",3861.63,589.0
"2018-07-24","Martedi",3620.44,521.0
"2018-07-25","Mercoledi",3404.41,520.0
"2018-07-26","Giovedi",3983.8,605.0
"2018-07-27","Venerdi",5624.97,864.0
"2018-07-28","Sabato",5508.78,767.0
"2018-07-29","Domenica",4880.64,637.0
"2018-07-30","Lunedi",2936.58,492.0
"2018-07-31","Martedi",3609.86,585.0
"2018-08-01","Mercoledi",3840.62,545.0
"2018-08-02","Giovedi",3863.15,537.0
"2018-08-03","Venerdi",4605.56,632.0
"2018-08-04","Sabato",4953.67,707.0
"2018-08-05","Domenica",4570.04,565.0
"2018-08-06","Lunedi",3820.5,523.0
"2018-08-07","Martedi",4015.85,548.0
"2018-08-08","Mercoledi",3435.86,523.0
"2018-08-09","Giovedi",3523.84,494.0
"2018-08-10","Venerdi",4462.9,600.0
"2018-08-11","Sabato",4365.7,613.0
"2018-08-12","Domenica",3668.64,470.0
"2018-08-13","Lunedi",3992.16,587.0
"2018-08-14","Martedi",3517.05,521.0
"2018-08-15","Mercoledi",2637.22,334.0
"2018-08-16","Giovedi",4290.57,592.0
"2018-08-17","Venerdi",4198.68,636.0
"2018-08-18","Sabato",4681.07,616.0
"2018-08-19","Domenica",4118.79,547.0
"2018-08-20","Lunedi",3257.6,503.0
"2018-08-21","Martedi",3370.3,468.0
"2018-08-22","Mercoledi",3075.96,483.0
"2018-08-23","Giovedi",3943.13,585.0
"2018-08-24","Venerdi",4965.31,694.0
"2018-08-25","Sabato",5487.78,696.0
"2018-08-26","Domenica",4919.19,665.0
"2018-08-27","Lunedi",4381.7,637.0
"2018-08-28","Martedi",4276.55,656.0
"2018-08-29","Mercoledi",4726.73,699.0
"2018-08-30","Giovedi",4568.93,692.0
"2018-08-31","Venerdi",5267.0,783.0
"2018-09-01","Sabato",6017.38,786.0
"2018-09-02","Domenica",5042.8,674.0
"2018-09-03","Lunedi",5224.28,715.0
"2018-09-04","Martedi",4395.17,652.0
"2018-09-05","Mercoledi",5445.16,840.0
"2018-09-06","Giovedi",3096.04,445.0
"2018-09-07","Venerdi",5563.57,796.0
"2018-09-08","Sabato",6232.13,832.0
"2018-09-09","Domenica",5188.42,672.0
