Data anno corrente,Giorno settimana,Vendite R4,Scontrini R4
2018-06-29,Venerdi,3274.78,781.0
2018-06-30,Sabato,3830.8,831.0
2018-07-01,Domenica,3092.13,678.0
2018-07-02,Lunedi,2912.4,703.0
2018-07-03,Martedi,3121.99,762.0
2018-07-04,Mercoledi,2822.65,639.0
2018-07-05,Giovedi,2646.74,659.0
2018-07-06,Venerdi,3374.95,791.0
2018-07-07,Sabato,3623.97,854.0
2018-07-08,Domenica,2919.13,638.0
2018-07-09,Lunedi,3108.44,747.0
2018-07-10,Martedi,3125.67,712.0
2018-07-11,Mercoledi,3501.18,741.0
2018-07-12,Giovedi,2794.35,678.0
2018-07-13,Venerdi,4023.0,861.0
2018-07-14,Sabato,3908.19,830.0
2018-07-15,Domenica,2893.98,609.0
2018-07-16,Lunedi,3154.61,654.0
2018-07-17,Martedi,3072.81,711.0
2018-07-18,Mercoledi,2807.72,679.0
2018-07-19,Giovedi,3027.11,737.0
2018-07-20,Venerdi,3475.8,785.0
2018-07-21,Sabato,4131.83,851.0
2018-07-22,Domenica,3162.26,639.0
2018-07-23,Lunedi,3215.77,728.0
2018-07-24,Martedi,3036.29,693.0
2018-07-25,Mercoledi,2895.91,709.0
2018-07-26,Giovedi,2499.75,634.0
2018-07-27,Venerdi,3389.31,792.0
2018-07-28,Sabato,3545.15,754.0
2018-07-29,Domenica,3216.27,684.0
2018-07-30,Lunedi,2870.31,718.0
2018-07-31,Martedi,2944.94,661.0
2018-08-01,Mercoledi,2841.54,678.0
2018-08-02,Giovedi,2421.68,602.0
2018-08-03,Venerdi,3270.59,725.0
2018-08-04,Sabato,3608.12,847.0
2018-08-05,Domenica,2696.51,619.0
2018-08-06,Lunedi,2634.29,655.0
2018-08-07,Martedi,2293.81,582.0
2018-08-08,Mercoledi,2777.92,609.0
2018-08-09,Giovedi,2660.23,593.0
2018-08-10,Venerdi,3277.43,689.0
2018-08-11,Sabato,3489.31,776.0
2018-08-12,Domenica,2855.75,606.0
2018-08-13,Lunedi,3396.47,696.0
2018-08-14,Martedi,3441.08,720.0
2018-08-15,Mercoledi,,
2018-08-16,Giovedi,3371.4,724.0
2018-08-17,Venerdi,3403.76,734.0
2018-08-18,Sabato,3612.9,796.0
2018-08-19,Domenica,3187.71,714.0
2018-08-20,Lunedi,3088.77,698.0
2018-08-21,Martedi,3324.57,762.0
2018-08-22,Mercoledi,3039.2,701.0
2018-08-23,Giovedi,2916.98,657.0
2018-08-24,Venerdi,3189.41,688.0
2018-08-25,Sabato,3483.69,779.0
2018-08-26,Domenica,2985.72,616.0
2018-08-27,Lunedi,2821.46,661.0
2018-08-28,Martedi,2905.25,657.0
2018-08-29,Mercoledi,2621.86,610.0
2018-08-30,Giovedi,3155.94,664.0
2018-08-31,Venerdi,3205.59,646.0
2018-09-01,Sabato,3731.24,815.0
2018-09-02,Domenica,3250.56,615.0
2018-09-03,Lunedi,3422.08,734.0
2018-09-04,Martedi,3439.59,764.0
2018-09-05,Mercoledi,3434.09,750.0
2018-09-06,Giovedi,3487.31,747.0
2018-09-07,Venerdi,3322.33,719.0
2018-09-08,Sabato,3427.11,803.0
2018-09-09,Domenica,3061.86,657.0
2018-09-10,Lunedi,3238.02,746.0
2018-09-11,Martedi,3780.97,797.0
2018-09-12,Mercoledi,3575.93,793.0
2018-09-13,Giovedi,4038.9,860.0
2018-09-14,Venerdi,4492.6,874.0
2018-09-15,Sabato,4137.26,849.0
2018-09-16,Domenica,3726.79,702.0
2018-09-17,Lunedi,3950.52,857.0
2018-09-18,Martedi,3502.09,769.0
2018-09-19,Mercoledi,3729.13,824.0
2018-09-20,Giovedi,3961.35,902.0
2018-09-21,Venerdi,4359.62,933.0
2018-09-22,Sabato,4489.64,882.0
2018-09-23,Domenica,3513.62,694.0
2018-09-24,Lunedi,3373.69,843.0
2018-09-25,Martedi,3488.64,895.0
2018-09-26,Mercoledi,3302.96,859.0
2018-09-27,Giovedi,3181.28,865.0
2018-09-28,Venerdi,4365.44,1019.0
2018-09-29,Sabato,4398.09,973.0
2018-09-30,Domenica,3531.0,817.0
2018-10-01,Lunedi,3319.16,771.0
2018-10-02,Martedi,3464.91,834.0
2018-10-03,Mercoledi,3483.3,831.0
2018-10-04,Giovedi,3438.99,773.0
2018-10-05,Venerdi,4114.17,862.0
