"row ID","Vendite R1","Vendite R2","Vendite R4","Vendite R5","Vendite R6"
"2018-06-18",3439.43,6908.36,3145.06,4961.27,3613.5
"2018-06-19",3131.83,7164.19,3022.14,5179.99,3139.98
"2018-06-20",3799.76,6972.56,3096.09,5861.69,4168.71
"2018-06-21",4215.12,8048.22,3037.16,5549.78,4081.65
"2018-06-22",5180.82,9778.28,3546.22,7159.94,5197.18
"2018-06-23",9287.19,10264.22,4008.58,8819.74,5380.35
"2018-06-24",6571.2,8558.71,3057.92,8180.95,5104.04
"2018-06-25",4024.82,7019.29,2942.37,6009.84,4160.08
"2018-06-26",3907.01,6284.99,2589.41,5034.94,3426.57
"2018-06-27",3625.5,6728.89,2975.05,6006.19,4119.6
"2018-06-28",4487.91,7085.59,2695.93,6433.31,3861.21
"2018-06-29",5597.42,9937.34,3274.78,6546.78,4830.31
"2018-06-30",7202.0,10075.43,3830.8,7335.07,4693.08
"2018-07-01",7659.28,9776.62,3092.13,7951.11,5166.25
"2018-07-02",4137.55,6628.33,2912.4,5128.83,4011.75
"2018-07-03",4335.33,7144.74,3121.99,5313.74,3834.58
"2018-07-04",4672.64,7157.85,2822.65,5059.75,3260.91
"2018-07-05",4720.18,7830.54,2646.74,5019.54,3831.59
"2018-07-06",5913.59,9443.8,3374.95,6971.02,5574.49
"2018-07-07",7888.91,10325.24,3623.97,8868.09,4836.06
"2018-07-08",8202.48,8871.09,2919.13,6638.16,4717.99
"2018-07-09",4553.53,6646.93,3108.44,5305.42,3409.07
"2018-07-10",4990.24,6914.47,3125.67,5737.56,3856.69
"2018-07-11",5245.65,7358.63,3501.18,6130.86,4085.86
"2018-07-12",4679.48,8433.12,2794.35,5394.48,4012.67
"2018-07-13",6378.93,9235.37,4023.0,6526.38,4931.15
"2018-07-14",9140.68,10806.74,3908.19,7933.46,5983.83
"2018-07-15",7287.1,9539.59,2893.98,7256.95,4483.53
"2018-07-16",5133.67,7401.1,3154.61,5716.26,3718.67
"2018-07-17",4946.06,7383.61,3072.81,5032.08,3294.82
"2018-07-18",4009.24,6757.07,2807.72,5876.78,3884.79
"2018-07-19",4200.32,7608.32,3027.11,5269.62,4203.65
"2018-07-20",5537.91,10515.21,3475.8,7863.53,4913.41
"2018-07-21",11343.91,11734.67,4131.83,8747.9,5687.36
"2018-07-22",8685.53,9320.23,3162.26,7399.81,4725.62
"2018-07-23",4615.17,6449.97,3215.77,5705.81,3861.63
"2018-07-24",4350.13,6811.63,3036.29,5182.47,3620.44
"2018-07-25",4307.4,6825.95,2895.91,5058.43,3404.41
"2018-07-26",4242.76,6865.85,2499.75,5543.82,3983.8
"2018-07-27",6459.35,9497.98,3389.31,7484.01,5624.97
"2018-07-28",7549.82,10363.22,3545.15,8156.71,5508.78
"2018-07-29",8056.25,9571.04,3216.27,7395.16,4880.64
"2018-07-30",3869.76,6066.58,2870.31,5481.46,2936.58
"2018-07-31",4128.9,6900.25,2944.94,5851.21,3609.86
"2018-08-01",4355.98,7621.03,2841.54,6227.72,3840.62
"2018-08-02",4546.3,7379.76,2421.68,5578.29,3863.15
"2018-08-03",5977.0,9197.11,3270.59,6691.65,4605.56
"2018-08-04",8061.68,10457.33,3608.12,7685.0,4953.67
"2018-08-05",6939.15,8728.24,2696.51,7239.87,4570.04
"2018-08-06",4711.24,6473.71,2634.29,4526.32,3820.5
"2018-08-07",4740.63,7053.9,2293.81,5084.73,4015.85
"2018-08-08",3981.68,6599.45,2777.92,5721.02,3435.86
"2018-08-09",5311.68,7546.65,2660.23,6121.8,3523.84
"2018-08-10",6298.34,9893.75,3277.43,6827.56,4462.9
"2018-08-11",8544.57,10064.88,3489.31,7754.39,4365.7
"2018-08-12",8092.78,8332.46,2855.75,6654.39,3668.64
"2018-08-13",6670.36,7956.19,3396.47,6372.77,3992.16
"2018-08-14",6099.26,7230.85,3441.08,6224.98,3517.05
"2018-08-15",2542.66,7203.4,2913.35,5941.43,2637.22
"2018-08-16",4979.3,6992.57,3371.4,5359.36,4290.57
"2018-08-17",5998.54,8858.12,3403.76,6370.79,4198.68
"2018-08-18",7250.32,9109.16,3612.9,6689.24,4681.07
"2018-08-19",7222.89,7857.98,3187.71,6479.42,4118.79
"2018-08-20",5116.13,7220.64,3088.77,5806.17,3257.6
"2018-08-21",4663.94,7486.58,3324.57,5418.83,3370.3
"2018-08-22",5355.47,7833.89,3039.2,5418.68,3075.96
"2018-08-23",5142.18,7270.7,2916.98,5415.71,3943.13
"2018-08-24",6453.35,9881.04,3189.41,6647.05,4965.31
"2018-08-25",10030.98,11598.23,3483.69,7971.18,5487.78
"2018-08-26",7157.78,9545.82,2985.72,6576.88,4919.19
"2018-08-27",4904.61,6877.7,2821.46,5403.82,4381.7
"2018-08-28",4774.85,6715.46,2905.25,5892.84,4276.55
"2018-08-29",5259.39,7390.28,2621.86,5757.76,4726.73
"2018-08-30",5286.18,8760.02,3155.94,5618.77,4568.93
"2018-08-31",7047.42,10987.47,3205.59,8047.62,5267.0
"2018-09-01",11002.76,12913.53,3731.24,10249.33,6017.38
"2018-09-02",9468.3,10732.56,3250.56,8194.38,5042.8
"2018-09-03",5438.3,7936.88,3422.08,5960.49,5224.28
"2018-09-04",5511.67,7982.76,3439.59,5579.48,4395.17
"2018-09-05",5161.12,7391.43,3434.09,5648.39,5445.16
"2018-09-06",5544.57,8241.01,3487.31,5908.62,3096.04
"2018-09-07",7398.81,9229.23,3322.33,7735.56,5563.57
"2018-09-08",9459.82,11962.2,3427.11,9375.13,6232.13
"2018-09-09",7289.2,9301.25,3061.86,8146.4,5188.42
"2018-09-10",5406.64,8451.21,3238.02,6523.24,6303.84
"2018-09-11",4857.34,8348.98,3780.97,6448.96,5266.49
"2018-09-12",5384.57,8123.67,3575.93,6192.53,7188.44
"2018-09-13",4490.4,8760.26,4038.9,5558.47,5437.75
"2018-09-14",6601.11,11522.89,4492.6,7657.88,6661.43
"2018-09-15",10498.32,13086.94,4137.26,9301.28,7105.74
"2018-09-16",7651.89,10660.24,3726.79,7524.42,5192.62
"2018-09-17",3997.83,9117.12,3950.52,5551.06,4644.04
"2018-09-18",4382.14,7492.5,3502.09,5186.36,4720.46
"2018-09-19",4545.87,7316.63,3729.13,5318.45,5398.0
"2018-09-20",5310.17,8377.78,3961.35,6155.96,6492.19
"2018-09-21",6338.36,10458.84,4359.62,8290.86,5897.79
"2018-09-22",9718.48,13035.2,4489.64,9724.23,6708.36
"2018-09-23",9163.32,10823.31,3513.62,7496.95,4540.09
"2018-09-24",3134.57,6564.27,3373.69,5419.22,3703.1
"2018-09-25",3856.37,6712.79,3488.64,4865.09,4084.09
"2018-09-26",3291.79,7856.72,3302.96,5361.86,4272.54
"2018-09-27",3447.94,7428.48,3181.28,5248.81,4497.67
"2018-09-28",6218.81,10824.43,4365.44,7905.24,6385.41
"2018-09-29",10134.52,13507.11,4398.09,9721.73,5877.9
"2018-09-30",7433.45,10151.15,3531.0,8011.04,4715.34
"2018-10-01",3411.98,6670.9,3319.16,5247.63,3464.0
"2018-10-02",3655.42,6963.89,3464.91,4669.78,3989.86
"2018-10-03",3232.97,7694.18,3483.3,5520.68,3666.39
"2018-10-04",3292.07,7702.0,3438.99,5418.77,4243.78
"2018-10-05",6061.26,10869.65,4114.17,7901.84,5994.44
"2018-10-06",10301.24,12973.32,4086.48,9362.28,7225.68
"2018-10-07",7958.09,10376.25,3217.86,7491.95,4199.4
"2018-10-08",3117.16,6780.94,3269.22,4748.04,4572.82
"2018-10-09",2833.49,7008.58,3174.18,4722.86,3777.6
"2018-10-10",3772.73,7651.16,3145.36,5077.2,4082.9
"2018-10-11",3923.09,7565.01,3429.72,6036.18,3761.98
"2018-10-12",6234.45,11781.05,4711.34,7575.53,6296.04
"2018-10-13",10064.4,14860.22,4287.04,10093.46,6296.61
"2018-10-14",7996.11,11135.41,3328.94,8025.68,4529.39
"2018-10-15",3396.36,6960.93,3626.73,5052.43,3516.4
"2018-10-16",2963.91,6908.9,3210.72,5135.51,3872.83
"2018-10-17",3251.35,7916.16,3434.29,4983.81,4032.31
"2018-10-18",3147.53,7520.89,3283.02,5744.68,4505.06
"2018-10-19",6219.74,11291.22,3845.86,7879.87,6194.72
"2018-10-20",10432.02,14240.79,4516.62,10203.17,6222.76
"2018-10-21",7378.48,11308.14,3612.65,7338.6,4108.06
"2018-10-22",3391.27,6742.11,3131.22,5034.32,3240.86
